ENA_ID,THESIS_CODE,RACE,
SRR652374,Jinhua_1,jinhua,
SRR652375,Jinhua_2,jinhua,
SRR652376,Jinhua_3,jinhua,
ERR173176,INDO22_Sumatra,wild_boar,sumatran
ERR173177,INDO26_Sbarbatus,bearded_pig,sus_barbatus
ERR173178,INDO33_Sumatra,wild_boar,sumatran
ERR173209,SCEB01F01_Scebifrons,visayan_warty_pig,sus_cebifrons
ERR173213,WB21F05,wild_boar,
ERR173214,WB21M03,wild_boar,
ERR173216,WB22F02,wild_boar,
ERR173217,WB25U11,wild_boar,
ERR977326,WB21F10,wild_boar,
ERR977331,WB22F01,wild_boar,
